dws_uv_detail_wk.mid_id dws_uv_detail_wk.user_id        dws_uv_detail_wk.version_code   dws_uv_detail_wk.version_name   dws_uv_detail_wk.lang   dws_uv_detail_wk.source dws_uv_detail_wk.os     dws_uv_detail_wk.area   dws_uv_detail_wk.model   dws_uv_detail_wk.brand  dws_uv_detail_wk.sdk_version    dws_uv_detail_wk.gmail  dws_uv_detail_wk.height_width   dws_uv_detail_wk.app_time       dws_uv_detail_wk.network        dws_uv_detail_wk.lng    dws_uv_detail_wk.lat    dws_uv_detail_wk.monday_date     dws_uv_detail_wk.sunday_date    dws_uv_detail_wk.wk_dt
102     102     3|13    1.0.5|1.0.0     pt      Y|S     8.1.6|8.2.0     MX      sumsung-0|Huawei-5      Sumsung|Huawei  V2.2.5|V2.7.0   S05VR480@gmail.com|287Q2N35@gmail.com   640*1136|1080*1920      1566172135149|1566150968656     WIFI|4G  -47.9|-66.3     -41.7|2.0       2019-08-19      2019-08-25      2019-08-19_2019-08-25

104     104     14|19   1.2.0|1.1.3     pt|es   P|Y     8.0.2|8.1.2     MX      sumsung-16|sumsung-4    Sumsung V2.2.7|V2.3.0   GXBHQ965@gmail.com|46X9PEFO@gmail.com   640*1136|750*1134       1566151185676|1566185917691     WIFI|3G -61.1|-79.3      22.4|-29.3      2019-08-19      2019-08-25      2019-08-19_2019-08-25

105     105     8       1.1.2   es      V       8.1.6   MX      HTC-2   HTC     V2.9.4  CWURY203@gmail.com      750*1134        1566124841086   4G      -89.1   -52.3   2019-08-19      2019-08-25      2019-08-19_2019-08-25

106     106     6|12    1.1.0|1.0.1     pt|es   H|R     8.1.3   MX      sumsung-17|HTC-12       Sumsung|HTC     V2.3.4|V2.2.6   05935613@gmail.com|Y969ECX1@gmail.com   750*1134        1566187239726|1566157869756     WIFI|3G -104.3|-67.5     -34.1|-38.8     2019-08-19      2019-08-25      2019-08-19_2019-08-25

108     108     11|0    1.0.7|1.3.4     en|pt   F|X     8.2.6|8.0.9     MX      HTC-9|Huawei-11 HTC|Huawei      V2.3.0|V2.8.7   800CS56P@gmail.com|137H35R9@gmail.com   640*960 1566159215083|1566176922860     3G      -60.4|-71.1     26.8|31.4        2019-08-19      2019-08-25      2019-08-19_2019-08-25

109     109     13      1.3.7   es      U       8.2.4   MX      HTC-13  HTC     V2.4.4  M0S8NC5B@gmail.com      1080*1920       1566190309752   4G      -43.0   26.2    2019-08-19      2019-08-25      2019-08-19_2019-08-25

11      11      13|9    1.1.9|1.0.4     en|es   B|O     8.2.6|8.2.8     MX      Huawei-15|Huawei-2      Huawei  V2.3.5|V2.3.9   O987FPFL@gmail.com|N4063AZU@gmail.com   640*1136|640*960        1566186955369|1566160941387     4G|3G   -100.2|-65.1     -48.9|-48.1     2019-08-19      2019-08-25      2019-08-19_2019-08-25

110     110     5       1.1.6   en      I       8.0.3   MX      sumsung-12      Sumsung V2.0.8  T9UN5781@gmail.com      1080*1920       1566172765630   4G      -65.6   9.0     2019-08-19      2019-08-25      2019-08-19_2019-08-25

111     111     0|11    1.2.9|1.3.5     en|pt   H|R     8.2.1|8.2.7     MX      Huawei-4|HTC-5  Huawei|HTC      V2.9.5|V2.9.0   999S33FL@gmail.com|896B28Y3@gmail.com   1080*1920|750*1134      1566135716444|1566166249670     4G      -62.4|-89.9      2.0999999999999996|24.6 2019-08-19      2019-08-25      2019-08-19_2019-08-25

112     112     5|9     1.0.0|1.3.0     es|en   I|X     8.2.5|8.0.0     MX      HTC-15|HTC-9    HTC     V2.1.9|V2.1.0   NYJ8E04Z@gmail.com|SX8CF641@gmail.com   750*1134|640*960        1566169386355|1566131405684     WIFI|4G -42.5|-57.0      -38.6|-44.5     2019-08-19      2019-08-25      2019-08-19_2019-08-25

113     113     6       1.1.0   pt      V       8.0.2   MX      HTC-17  HTC     V2.8.5  Q61G7B2D@gmail.com      640*960 1566127541795   3G      -97.1   -20.4   2019-08-19      2019-08-25      2019-08-19_2019-08-25

114     114     5       1.2.5   pt      T       8.0.0   MX      HTC-4   HTC     V2.4.8  0F0003R1@gmail.com      640*1136        1566130112084   3G      -113.7  -54.9   2019-08-19      2019-08-25      2019-08-19_2019-08-25

115     115     18|3    1.0.1|1.2.0     pt      F|A     8.2.6|8.1.5     MX      sumsung-11|HTC-13       Sumsung|HTC     V2.0.5|V2.9.0   WOA6FIIR@gmail.com|N4UP3NV0@gmail.com   750*1134|640*960        1566154004575|1566123104227     3G       -72.0|-81.6     -46.6|-27.3     2019-08-19      2019-08-25      2019-08-19_2019-08-25

117     117     9       1.1.4   es      G       8.0.7   MX      sumsung-19      Sumsung V2.6.8  Q779WG78@gmail.com      1080*1920       1566141007473   4G      -42.9   27.0    2019-08-19      2019-08-25      2019-08-19_2019-08-25

119     119     9       1.3.8   en      Y       8.0.0   MX      HTC-16  HTC     V2.7.5  E01P0X64@gmail.com      750*1134        1566191282255   4G      -35.5   -48.0   2019-08-19      2019-08-25      2019-08-19_2019-08-25
