dwd_display_log.mid_id  dwd_display_log.user_id dwd_display_log.version_code    dwd_display_log.version_name    dwd_display_log.lang    dwd_display_log.source  dwd_display_log.os      dwd_display_log.area    dwd_display_log.model   dwd_display_log.brand    dwd_display_log.sdk_version     dwd_display_log.gmail   dwd_display_log.height_width    dwd_display_log.app_time        dwd_display_log.network dwd_display_log.lng     dwd_display_log.lat     dwd_display_log.action   dwd_display_log.goodsid dwd_display_log.place   dwd_display_log.extend1 dwd_display_log.category        dwd_display_log.server_time     dwd_display_log.dt
56      56      2       1.2.6   en      R       8.0.1   MX      sumsung-17      Sumsung V2.3.4  22CCKWDZ@gmail.com      750*1134        1566160930546   3G      -111.8  -14.1   1       9       0       1       39      1566213877088   2019-08-19

60      60      2       1.1.4   es      N       8.1.7   MX      HTC-2   HTC     V2.9.7  KOCP2U48@gmail.com      1080*1920       1566153225254   3G      -57.8   -14.1   2       10      4       2       36      1566213877115   2019-08-19

63      63      11      1.0.7   pt      Y       8.0.9   MX      HTC-13  HTC     V2.4.9  56975V3L@gmail.com      750*1134        1566137673322   4G      -104.1  -48.4   1       11      3       2       72      1566213877126   2019-08-19

76      76      17      1.3.4   pt      W       8.1.2   MX      sumsung-0       Sumsung V2.5.1  8A8N992N@gmail.com      640*960 1566174196919   4G      -54.7   -24.7   1       12      0       1       50      1566213877181   2019-08-19

85      85      3       1.1.8   es      J       8.2.8   MX      HTC-3   HTC     V2.6.6  OOF12S71@gmail.com      640*960 1566116629885   WIFI    -81.1   14.3    2       13      0       2       52      1566213877186   2019-08-19

87      87      8       1.0.1   en      U       8.2.1   MX      sumsung-15      Sumsung V2.6.5  ZVB809W3@gmail.com      750*1134        1566206855025   4G      -54.8   -47.3   1       14      0       1       67      1566213877187   2019-08-19

89      89      4       1.0.9   en      C       8.2.7   MX      Huawei-16       Huawei  V2.7.7  C393PB06@gmail.com      640*960 1566183203124   4G      -49.8   -46.1   2       15      0       1       17      1566213877189   2019-08-19

91      91      5       1.3.2   es      T       8.2.3   MX      sumsung-4       Sumsung V2.1.8  6040283Y@gmail.com      1080*1920       1566209367600   3G      -89.8   15.0    1       16      2       1       8       1566213877190   2019-08-19

92      92      16      1.0.9   es      Z       8.0.0   MX      HTC-4   HTC     V2.1.8  H83601K7@gmail.com      750*1134        1566159466732   3G      -117.0  14.4    1       17      4       2       50      1566213877191   2019-08-19

93      93      3       1.1.1   en      W       8.2.8   MX      HTC-15  HTC     V2.8.3  4Z0351L5@gmail.com      640*1136        1566125641167   WIFI    -81.1   -6.9    1       18      1       1       62      1566213877194   2019-08-19

98      98      4       1.0.2   es      F       8.2.6   MX      sumsung-0       Sumsung V2.3.7  FU45S70E@gmail.com      750*1134        1566150101797   4G      -41.0   7.7     2       19      4       1       97      1566213877195   2019-08-19

101     101     0       1.3.2   es      R       8.0.7   MX      sumsung-13      Sumsung V2.8.1  RG2WHBFG@gmail.com      640*1136        1566194016298   3G      -48.3   -9.3    1       20      5       2       88      1566213877225   2019-08-19

103     103     7       1.2.3   pt      J       8.1.3   MX      Huawei-19       Huawei  V2.7.4  702LF9Y5@gmail.com      750*1134        1566134248350   4G      -51.4   18.9    1       21      1       1       52      1566213877227   2019-08-19

107     107     15      1.2.2   es      R       8.0.5   MX      Huawei-11       Huawei  V2.5.4  C2YVK614@gmail.com      640*960 1566177765487   4G      -46.7   2.3     1       22      3       1       73      1566213877238   2019-08-19

110     110     15      1.3.6   pt      Z       8.0.1   MX      sumsung-15      Sumsung V2.8.4  XXZZW96E@gmail.com      750*1134        1566171140783   WIFI    -66.8   18.0    1       23      0       2       98      1566213877238   2019-08-19

114     114     12      1.2.1   en      G       8.0.5   MX      HTC-15  HTC     V2.7.5  1U7131VG@gmail.com      750*1134        1566162956609   4G      -118.4  5.1     1       24      1       1       56      1566213877239   2019-08-19

117     117     9       1.3.6   es      C       8.1.6   MX      sumsung-15      Sumsung V2.6.7  7ZEFE7J3@gmail.com      640*1136        1566203194952   4G      -88.5   24.4    1       25      1       1       92      1566213877240   2019-08-19

118     118     19      1.1.1   en      Y       8.0.8   MX      Huawei-9        Huawei  V2.3.2  XQDWFOZ8@gmail.com      1080*1920       1566137862138   WIFI    -117.8  -37.4   1       26      4       1       3       1566213877240   2019-08-19

127     127     18      1.0.6   pt      E       8.2.3   MX      HTC-9   HTC     V2.7.9  868813RU@gmail.com      640*960 1566178861398   3G      -118.0  3.0     1       27      0       2       26      1566213877243   2019-08-19

130     130     19      1.0.7   en      B       8.0.9   MX      sumsung-0       Sumsung V2.5.0  TL13L3XN@gmail.com      640*1136        1566121515421   4G      -49.0   12.5    2       28      2       1       44      1566213877246   2019-08-19

132     132     18      1.3.3   en      V       8.2.7   MX      sumsung-11      Sumsung V2.9.6  1A75VPH3@gmail.com      750*1134        1566194452359   3G      -106.4  -39.7   2       29      4       1       76      1566213877247   2019-08-19

137     137     5       1.1.9   en      I       8.2.5   MX      Huawei-18       Huawei  V2.8.2  77O18891@gmail.com      1080*1920       1566186862835   WIFI    -83.6   -21.3   1       30      3       1       52      1566213877248   2019-08-19

138     138     6       1.0.1   pt      W       8.2.0   MX      HTC-14  HTC     V2.7.8  2IYMJX8T@gmail.com      750*1134        1566150971592   3G      -53.6   -55.5   1       31      4       2       65      1566213877248   2019-08-19

146     146     18      1.2.6   es      L       8.1.0   MX      sumsung-6       Sumsung V2.1.5  N0JGZDVJ@gmail.com      1080*1920       1566158215573   WIFI    -104.9  -49.4   1       32      0       1       89      1566213877250   2019-08-19

152     152     5       1.2.1   es      Y       8.0.5   MX      Huawei-17       Huawei  V2.7.4  V80D7K5Y@gmail.com      750*1134        1566168002768   WIFI    -100.0  15.3    2       33      1       2       89      1566213877251   2019-08-19

153     153     2       1.2.7   pt      R       8.1.8   MX      sumsung-2       Sumsung V2.8.5  0DHDW63X@gmail.com      640*1136        1566120072141   3G      -65.0   20.8    1       34      2       2       98      1566213877251   2019-08-19

154     154     13      1.1.1   en      Z       8.0.3   MX      sumsung-8       Sumsung V2.0.4  Z52A05A5@gmail.com      640*1136        1566120228996   3G      -110.6  7.7     1       35      0       1       22      1566213877251   2019-08-19

159     159     19      1.2.8   pt      M       8.0.4   MX      sumsung-17      Sumsung V2.5.7  HEL341E2@gmail.com      750*1134        1566173708709   WIFI    -72.7   -22.4   1       36      2       2       97      1566213877252   2019-08-19

161     161     9       1.1.5   en      I       8.2.7   MX      Huawei-8        Huawei  V2.8.4  L23Z42YK@gmail.com      1080*1920       1566207015909   3G      -56.0   -27.7   1       37      4       2       70      1566213877252   2019-08-19

165     165     11      1.3.6   en      X       8.0.0   MX      HTC-9   HTC     V2.9.2  B61Q58FF@gmail.com      640*960 1566157467131   4G      -66.2   -40.6   2       38      5       1       52      1566213877253   2019-08-19

166     166     11      1.1.6   pt      Z       8.0.7   MX      HTC-8   HTC     V2.9.7  5K22B3WR@gmail.com      1080*1920       1566123336162   3G      -52.6   -17.1   1       39      0       1       59      1566213877253   2019-08-19

167     167     18      1.2.0   es      J       8.2.3   MX      Huawei-0        Huawei  V2.2.3  62Z2XTIJ@gmail.com      640*960 1566201035419   3G      -109.7  14.1    1       40      3       1       92      1566213877254   2019-08-19

169     169     5       1.3.3   en      P       8.2.9   MX      sumsung-3       Sumsung V2.8.3  EKQA1418@gmail.com      640*960 1566176411612   4G      -112.6  -7.6    1       41      1       2       30      1566213877254   2019-08-19

177     177     12      1.3.6   en      Q       8.0.4   MX      sumsung-10      Sumsung V2.5.7  C29060G4@gmail.com      640*960 1566149850013   4G      -66.4   -1.7000000000000002     2       42      3       1       5       1566213877258    2019-08-19

180     180     11      1.1.2   es      R       8.1.5   MX      sumsung-14      Sumsung V2.6.4  ZC96787R@gmail.com      750*1134        1566158190638   3G      -60.9   -25.8   1       43      3       2       51      1566213877258   2019-08-19

187     187     17      1.1.5   es      W       8.2.2   MX      HTC-19  HTC     V2.9.9  EFN9G59V@gmail.com      640*1136        1566160614681   WIFI    -80.9   -22.1   1       44      5       2       92      1566213877267   2019-08-19

188     188     0       1.3.6   en      X       8.0.6   MX      sumsung-3       Sumsung V2.2.0  J930T19I@gmail.com      1080*1920       1566138421425   WIFI    -99.9   -51.1   1       45      4       1       65      1566213877268   2019-08-19

193     193     19      1.3.7   pt      T       8.1.1   MX      HTC-11  HTC     V2.6.3  7QER9F1Y@gmail.com      1080*1920       1566146941563   WIFI    -39.3   10.9    1       46      4       2       7       1566213877268   2019-08-19

195     195     7       1.0.0   en      V       8.1.4   MX      sumsung-11      Sumsung V2.3.7  8596EIYW@gmail.com      640*1136        1566192776166   4G      -60.2   -19.9   2       47      5       2       93      1566213877269   2019-08-19

196     196     4       1.2.4   pt      T       8.2.9   MX      sumsung-1       Sumsung V2.3.8  YA7D42D7@gmail.com      640*1136        1566187501733   4G      -95.8   -1.0    1       48      3       1       82      1566213877269   2019-08-19

202     202     5       1.3.4   pt      B       8.0.8   MX      sumsung-2       Sumsung V2.9.8  OD81EYD8@gmail.com      640*960 1566113929241   4G      -61.5   -34.7   1       49      3       2       72      1566213877269   2019-08-19

206     206     5       1.3.9   es      Z       8.0.0   MX      sumsung-15      Sumsung V2.3.7  553VN3C7@gmail.com      640*960 1566161682223   3G      -54.6   -40.9   1       50      4       1       14      1566213877270   2019-08-19
