dws_new_mid_day.mid_id  dws_new_mid_day.user_id dws_new_mid_day.version_code    dws_new_mid_day.version_name    dws_new_mid_day.lang    dws_new_mid_day.source  dws_new_mid_day.os      dws_new_mid_day.area    dws_new_mid_day.model   dws_new_mid_day.brand    dws_new_mid_day.sdk_version     dws_new_mid_day.gmail   dws_new_mid_day.height_width    dws_new_mid_day.app_time        dws_new_mid_day.network dws_new_mid_day.lng     dws_new_mid_day.lat     dws_new_mid_day.create_date
112     112     5|9     1.0.0|1.3.0     es|en   I|X     8.2.5|8.0.0     MX      HTC-15|HTC-9    HTC     V2.1.9|V2.1.0   NYJ8E04Z@gmail.com|SX8CF641@gmail.com   750*1134|640*960        1566169386355|1566131405684     WIFI|4G -42.5|-57.0      -38.6|-44.5     2019-08-19

113     113     6       1.1.0   pt      V       8.0.2   MX      HTC-17  HTC     V2.8.5  Q61G7B2D@gmail.com      640*960 1566127541795   3G      -97.1   -20.4   2019-08-19

114     114     5       1.2.5   pt      T       8.0.0   MX      HTC-4   HTC     V2.4.8  0F0003R1@gmail.com      640*1136        1566130112084   3G      -113.7  -54.9   2019-08-19

115     115     18|3    1.0.1|1.2.0     pt      F|A     8.2.6|8.1.5     MX      sumsung-11|HTC-13       Sumsung|HTC     V2.0.5|V2.9.0   WOA6FIIR@gmail.com|N4UP3NV0@gmail.com   750*1134|640*960        1566154004575|1566123104227     3G       -72.0|-81.6     -46.6|-27.3     2019-08-19

117     117     9       1.1.4   es      G       8.0.7   MX      sumsung-19      Sumsung V2.6.8  Q779WG78@gmail.com      1080*1920       1566141007473   4G      -42.9   27.0    2019-08-19

119     119     9       1.3.8   en      Y       8.0.0   MX      HTC-16  HTC     V2.7.5  E01P0X64@gmail.com      750*1134        1566191282255   4G      -35.5   -48.0   2019-08-19

12      12      17|10   1.1.0|1.2.8     es|pt   P|K     8.2.2|8.2.6     MX      Huawei-7|sumsung-3      Huawei|Sumsung  V2.4.6|V2.5.3   7Z27S31U@gmail.com|NJ4H6688@gmail.com   1080*1920|640*960       1566208864234|1566130187417     WIFI     -86.0|-105.8    18.0|-48.2      2019-08-19

120     120     8       1.2.1   es      I       8.2.9   MX      HTC-4   HTC     V2.6.4  O46DLZ4O@gmail.com      750*1134        1566183623177   WIFI    -97.8   12.1    2019-08-19

121     121     0|2     1.3.8|1.3.9     es|en   I|X     8.0.9|8.0.8     MX      sumsung-15|sumsung-3    Sumsung V2.6.9|V2.8.7   U2795953@gmail.com|F440798T@gmail.com   640*1136|640*960        1566154081569|1566146091735     3G|4G   -53.2|-82.9      25.1|-51.6      2019-08-19

122     122     4|11    1.1.4|1.1.6     es|en   C|X     8.0.8|8.0.1     MX      HTC-1|sumsung-17        HTC|Sumsung     V2.9.0|V2.8.5   O8OWDOM8@gmail.com|2C55UB83@gmail.com   1080*1920|640*960       1566137507296|1566128663112     WIFI     -111.7|-87.2    -35.2|-35.9     2019-08-19

125     125     9       1.3.8   en      N       8.2.7   MX      HTC-8   HTC     V2.2.6  DD38RG97@gmail.com      640*1136        1566198037629   WIFI    -83.3   -5.3    2019-08-19

126     126     14|2    1.2.7|1.0.1     en|pt   C|Y     8.0.1|8.0.3     MX      Huawei-16|HTC-1 Huawei|HTC      V2.0.6|V2.3.6   5J980374@gmail.com|NM56Y693@gmail.com   1080*1920|750*1134      1566144500978|1566204558978     4G      -100.6|-66.5     1.7000000000000002|-56.2        2019-08-19

127     127     12      1.1.0   es      Y       8.2.2   MX      Huawei-9        Huawei  V2.9.3  78AW937Y@gmail.com      640*960 1566174586129   4G      -108.2  -19.6   2019-08-19

129     129     3       1.3.6   pt      N       8.1.1   MX      Huawei-16       Huawei  V2.4.4  4OL018Q9@gmail.com      750*1134        1566170597536   WIFI    -93.6   25.2    2019-08-19

132     132     18      1.0.0   en      Y       8.1.6   MX      sumsung-17      Sumsung V2.9.7  7KV2GOKF@gmail.com      640*960 1566202287123   4G      -56.8   28.8    2019-08-19

133     133     18      1.0.0   pt      E       8.0.2   MX      sumsung-2       Sumsung V2.6.1  QJZ840HM@gmail.com      750*1134        1566131309738   4G      -96.1   4.5     2019-08-19
